140000,134 PAYNE COLE ROAD,NEWHEBRON,MS,39140
140001,134 S LILY ROSE RD,OAK VALE,MS,39656
140002,134 S LILY ROSE ROAD,OAK VALE,MS,39656
140003,135 TERRELL RD,PRENTISS,MS,39474
140004,1356 JOHN ST,PRENTISS,MS,39474
140005,136 YOUNG RD,PRENTISS,MS,39474
140006,137 BLACK POLK ROAD,PRENTISS,MS,39474
140007,137 SHORT CHAPEL LOOP,BASSFIELD,MS,39421
140008,138 LAWYER KEYS LN,BASSFIELD,MS,39421
140009,138 MORGAN LN,SUMRALL,MS,39482
140010,138 PARKMAN CEMETARY RD,NEWHEBRON,MS,39140
140011,139 TWO MILES ROAD,PRENTISS,MS,39474
140012,14 CARTER LANE,BASSFIELD,MS,39421
140013,14 CHOCTAW RD.,CARSON,MS,39427
140014,14 DUCKWORTH LN,PRENTISS,MS,39474
140015,14 HICKS LANE,PRENTISS,MS,39474
140016,14 SANDY PRICE CIR,BASSFIELD,MS,39421
140017,14 SMITH TRL,CARSON,MS,39427
140018,140 WEATHERSBY RD,NEWHEBRON,MS,39140
140019,1410 DAN ST,PRENTISS,MS,39474
140020,142 HARTZOG MAGEE RD,PRENTISS,MS,39474
140021,142 HARTZOG MAGEE ROAD,PRENTISS,MS,39474
140022,142 JORDAN HILL RD,CARSON,MS,39427
140023,1420 ST STEPHENS RD,PRENTISS,MS,39474
140024,1426 SEBRON ST,PRENTISS,MS,39474
140025,1426 SEBRON STREET,PRENTISS,MS,39474
140026,1434 SEBRON ST,PRENTISS,MS,39474
140027,1434 ST STEPHENS RD,PRENTISS,MS,39474
140028,1437 3RD STREET,PRENTISS,MS,39474
140029,144 MORGAN LANE,SUMRALL,MS,39482
140030,145 BLACK POLK RD,PRENTISS,MS,39474
140031,145 RANKIN RD,COLUMBIA,MS,39429
140032,145 TWO MILE ROAD,PRENTISS,MS,39474
140033,1450 ST STEPHENS ROAD,PRENTISS,MS,39474
140034,146 TWO MILE RD,PRENTISS,MS,39474
140035,1469 E ROSE HILL RD,PRENTISS,MS,39474
140036,147 HARPER ROAD,BASSFIELD,MS,39421
140037,148 MORGAN LANE,SUMRALL,MS,39482
140038,148 SANTEE BAPTIST CHURCH ROAD,PRENTISS,MS,39474
140039,149 WASHINGTON TRL,BASSFIELD,MS,39421
140040,149 WILLIE HOOKER LANE,PRENTISS,MS,39474
140041,149 WILLIE HOOKER LANE,SILVER CREEK,MS,39663
140042,1495 THIRD ST,PRENTISS,MS,39474
140043,15 DAVID LANE,BASSFIELD,MS,39421
140044,15 DAVID LN,BASSFIELD,MS,39421
140045,15 DAY CARE LANE,BASSFIELD,MS,39421
140046,15 DAYCARE LN,BASSFIELD,MS,39421
140047,15 DRUMMOND LN,BASSFIELD,MS,39421
140048,15 FREE-COLEMAN LANE,BASSFIELD,MS,39421
140049,15 L B SMITH LANE,OAK VALE,MS,39656
140050,15 ROWAN MCINNIS LN,PRENTISS,MS,39474
140051,15 SMITH RD,OAK VALE,MS,39656
140052,15 STEPHENS LOOP,CARSON,MS,39427
140053,15 WILLIAMS TRL,PRENTISS,MS,39474
140054,150 HARPER RD,BASSFIELD,MS,39421
140055,150 HARPER ROAD,BASSFIELD,MS,39421
140056,150 HARTZOG MAGEE RD,PRENTISS,MS,39474
140057,150 SPRING HILL RD,SILVER CREEK,MS,39663
140058,152 WEATHERSBY RD,NEWHEBRON,MS,39140
140059,155 GHOLAR RD,PRENTISS,MS,39474
140060,155 HAYNES GRAY ROAD,CARSON,MS,39427
140061,155 MORGAN LANE,SUMRALL,MS,39482
140062,1555 HARTZOG DRIVE,PRENTISS,MS,39474
140063,1555 HARTZOG RD,PRENTISS,MS,39474
140064,156 WEATHERSBY RD,NEWHEBRON,MS,39140
140065,157 STUBBS RD,BASSFIELD,MS,39421
140066,157 WILLIE HOOKER,PRENTISS,MS,39474
140067,1577 SEBRON ST,PRENTISS,MS,39474
140068,159 JORDAN HILL RD,CARSON,MS,39427
140069,16 BARNES LN,PRENTISS,MS,39474
140070,16 GRANBY ROAD,PRENTISS,MS,39474
140071,16 I V OATIS LN,PRENITSS,MS,39474
140072,16 I.V. OATIS LANE,PRENTISS,MS,39474
140073,16 WILLIAMSON WEBER LN,SUMRALL,MS,39482
140074,160 CROOSROAD CHURCH ROAD,SUMRALL,MS,39482
140075,160 CROSS ROAD CHURCH RD,SUMRALL,MS,39482
140076,1610 ST STEPHEN STREET,PRENTISS,MS,39474
140077,1619 WILLIAMS ST,PRENTISS,MS,39474
140078,162 GRANBY RD,PRENTISS,MS,39474
140079,162 JORDAN HILL RD,CARSON,MS,39427
140080,162 MORGAN LN,SUMRALL,MS,39482
140081,162 MORGAN LN.,SUMRSLL,MS,39482
140082,162 POLK OATIS RD,PRENTISS,MS,39474
140083,1630 MAGNOLIA DR,PRENTISS,MS,39474
140084,1636 MAGNOLIA DR,PRENTISS,MS,39474
140085,1638 BUDD ST,PRENTISS,MS,39474
140086,164 JULIUS PRICE ROAD,SILVER CREEK,MS,39663
140087,1649 BUDD STREET,PRENTISS,MS,39474
140088,1649 MAGNOLIA DR,PRENTISS,MS,39474
140089,165 EAST GRANBY ROAD,PRENTISS,MS,39474
140090,165 STUBBS RD,BASSFIELD,MS,39421
140091,166 SHORT CHAPEL LOOP,CARSON,MS,39427
140092,1665 MAGNOLIA DR,PRENTISS,MS,39474
140093,168 FATE WARD RD,CARSON,MS,39427
140094,17 ALFRED MAGEE RD,PRENTISS,MS,39474
140095,17 DEWEY POLK RD,PRENTISS,MS,39474
140096,17 GREEN HARPER LANE,BASSFIELD,MS,39421
140097,17 GREEN HARPER LN,BASSFIELD,MS,39421
140098,17 MAGEE LOOP,PRENTISS,MS,39474
140099,17 TERRELL ODUM LN,PRENTISS,MS,39474
140100,171 CANDY LN,CARSON,MS,39427
140101,1711 MARY STREET,PRENTISS,MS,39474
140102,172 LAWYER KEYS LANE,BASSFIELD,MS,39421
140103,172 LAWYER KEYS LN,BASSFIELD,MS,39421
140104,172 LOU BUCKLEY RD,NEWHEBRON,MS,39140
140105,172 STUBBS ROAD,BASSFIELD,MS,39421
140106,173 MCLEOD LANE,BASSFIELD,MS,39421
140107,1733 COLUMBIA AVE,PRENTISS,MS,39474
140108,174 GHOLAR RD,PRENTISS,MS,39474
140109,174 PONDEROSA RD,PRENTISS,MS,39474
140110,175 E GRANBY RD,PRENTISS,MS,39474
140111,175 S.J. GARNER ROAD,CARSON,MS,39427
140112,175 SJ GARNER ROAD,CARSON,MS,39427
140113,1755 JOHN STREET EXT,PRENTISS,MS,39474
140114,178 HOSEY MIKELL ROAD,BASSFIELD,MS,39421
140115,18 ALVIN STUCKEY RD,COLUMBIA,MS,39429
140116,18 HINTON LANE,CARSON,MS,39427
140117,18 J T DRIVE,BASSFIELD,MS,39421
140118,18 PRICE TRL,PRENTISS,MS,39474
140119,18 RUSHING TRL,PRENTISS,MS,39474
140120,18 WHITEHEAD LN,BASSFIELD,MS,39421
140121,183 LAWYER KEYS LANE,BASSFIELD,MS,39421
140122,186 HOSEY MIKELL RD,BASSFIELD,MS,39421
140123,186 S LILY ROSE RD,OAK VALE,MS,39656
140124,187 SPRING HILL CHURCH RD,SILVER CREEK,MS,39663
140125,188 SHORT CHAPEL LOOP,CARSON,MS,39427
140126,189 E GRANBY RD,PRENTISS,MS,39474
140127,189 GRAVES KEYS ROAD,BASSFIELD,MS,39421
140128,189 PALESTINE LOOP,OAK VALE,MS,39656
140129,189 STUBBS RD.,BASSFIELD,MS,39421
140130,19 HINTON LN,CARSON,MS,39427
140131,19 I V OATIS LN,PRENTISS,MS,39474
140132,19 LAMAR STREET,CARSON,MS,39421
140133,19 LAMAR STREET,CARSON,MS,39427
140134,19 NEWSOME GATLIN LN,NEWHEBRON,MS,39140
140135,19 S LILY ROSE RD,OAK VALE,MS,39656
140136,190 OLD HIGHWAY 84 E,PRENTISS,MS,39474
140137,1905 JOHN STREET EXT,PRENTISS,MS,39474
140138,1913 S WILLIAMSBURG RD,BASSFIELD,MS,39421
140139,192 GREENS CREEK ROAD,CARSON,MS,39427
140140,192 SHORTS CHAPEL LOOP,CARSON,MS,39427
140141,1927 JOHN STREET EXT,PRENTISS,MS,39474
140142,193 WASHINGTON TRL,BASSFIELD,MS,39421
140143,195 BASS LAIRD RD,PRENTISS,MS,39474
