270000,32 SCR 44,MOUNT OLIVE,MS,39119
270001,320 PICKENS DR,RALEIGH,MS,39153
270002,320 SCR 124-A,RALEIGH,MS,39153
270003,320 SCR 44,MOUNT OLIVE,MS,39119
270004,321 CENTRAL ST,TAYLORSVILLE,MS,39168
270005,321 WELLS DR,RALEIGH,MS,39153
270006,322 PICKENS DRIVE,RALEIGH,MS,39153
270007,323 PICKENS DRIVE,RALEIGH,MS,39153
270008,3234 SCR 120,RALEIGH,MS,39153
270009,324 MAGNOLIA DRIVE,RALEIGH,MS,39153
270010,324 PICKENS DR,RALEIGH,MS,39153
270011,324 PICKENS DRIVE,RALEIGH,MS,39153
270012,324 SCR 36,MOUNT OLIVE,MS,39119
270013,3248 SCR 14,TAYLORSVILLE,MS,39168
270014,325 E MAGNOLIA PL,PEARL,MS,39208
270015,325 SCR 1C1,TAYLORSVILLE,MS,39168
270016,325 W MOORE ST,TAYLORSVILLE,MS,39168
270017,325 W PECAN DR,MIZE,MS,39116
270018,3257 SCR 84,TAYLORSVILLE,MS,39168
270019,3268 SCR 529,LOUIN,MS,39338
270020,3269 SCR 538,MORTON,MS,39117
270021,327 PICKENS DR,RALEIGH,MS,39153
270022,327 SCR 146,MORTON,MS,39117
270023,328 SCR 1C1,TAYLORSVILLE,MS,39168
270024,328 TURNER CHAPEL CIR,RALEIGH,MS,39153
270025,33 SCR  18-5,BAY SPRINGS,MS,39422
270026,33 SCR 10F,TAYLORSVILLE,MS,39168
270027,330 SCR 35-11A1,PULASKI,MS,39152
270028,330 SCR 531-2,TAYLORSVILLE,MS,39168
270029,330 SCR 87A,MIZE,MS,39116
270030,3300 SCR 135,MORTON,MS,39117
270031,3301 SCR 503,RALEIGH,MS,39153
270032,331 SCR 1C1,TAYLORSVILLE,MS,39168
270033,3316 SCR 539,RALEIGH,MS,39153
270034,3317 SCR 128,RALEIGH,MS,39153
270035,3318 SCR 52,LOUIN,MS,39338
270036,333 SCR 29,MIZE,MS,39116
270037,3334 SCR 68,MIZE,MS,39116
270038,3339 HIGHWAY 28,MIZE,MS,39116
270039,3339 HWY 28,MIZE,MS,39116
270040,335 HWY 481,RALEIGH,MS,39153
270041,3355 SCR 33,TAYLORSVILLE,MS,39168
270042,3360 SCR 52,LOUIN,MS,39338
270043,337 SCR 17,TAYLORSVILLE,MS,39168
270044,33758 HIGHWAY 35 N,FOREST,MS,39074
270045,33758 HIGHWAY 35 NORTH,FOREST,MS,39074
270046,339 MAGNOLIA DR,RALEIGH,MS,39153
270047,34 J P RUTLAND LN,COLLINS,MS,39428
270048,34 JORDAN LN,MOUNT OLIVE,MS,39119
270049,34 SCR 19L,TAYLORSVILLE,MS,39168
270050,34 SCR 481 A-1,RALEIGH,MS,39153
270051,34 SCR 481A,RALEIGH,MS,39153
270052,340 PICKENS DR,RALEIGH,MS,39153
270053,340 PICKENS DRIVE,RALEIGH,MS,39153
270054,34014 HIGHWAY 35 N,FOREST,MS,39074
270055,34014 HWY 35 NORTH,FOREST,MS,39074
270056,34036 HIGHWAY 35 N,FOREST,MS,39074
270057,341 SCR 30A,MOUNT OLIVE,MS,39119
270058,342 SCR 581,RALEIGH,MS,39153
270059,343 SCR 30A,MOUNT OLIVE,MS,39119
270060,3432 SCR 128,RALEIGH,MS,39153
270061,3439 SCR 135,MORTON,MS,39117
270062,344 SCR 98,MIZE,MS,39116
270063,344 SCR 99C,BAY SPRINGS,MS,39422
270064,3443 SCR 93,TAYLORSVILLE,MS,39168
270065,3446 SCR 19,TAYLORSVILLE,MS,39168
